Date,Closing Price
2020년 03월 24일,24.01
2020년 03월 23일,23.36
2020년 03월 20일,22.43
2020년 03월 19일,25.22
2020년 03월 18일,20.37
2020년 03월 17일,26.95
2020년 03월 16일,28.7
2020년 03월 13일,31.73
2020년 03월 12일,31.5
2020년 03월 11일,32.98
2020년 03월 10일,34.36
2020년 03월 09일,31.13
2020년 03월 06일,41.28
2020년 03월 05일,45.9
2020년 03월 04일,46.78
2020년 03월 03일,47.18
2020년 03월 02일,46.75
2020년 02월 28일,44.76
2020년 02월 27일,47.09
2020년 02월 26일,48.73
2020년 02월 25일,49.9
2020년 02월 24일,51.43
2020년 02월 21일,53.38
2020년 02월 20일,53.78
2020년 02월 19일,53.29
2020년 02월 18일,52.05
2020년 02월 17일,52.2
2020년 02월 16일,52.36
2020년 02월 14일,52.05
2020년 02월 13일,51.42
2020년 02월 12일,51.17
2020년 02월 11일,49.94
2020년 02월 10일,49.57
2020년 02월 07일,50.32
2020년 02월 06일,50.95
2020년 02월 05일,50.75
2020년 02월 04일,49.61
2020년 02월 03일,50.11
2020년 01월 31일,51.56
2020년 01월 30일,52.14
2020년 01월 29일,53.33
2020년 01월 28일,53.48
2020년 01월 27일,53.14
2020년 01월 24일,54.19
2020년 01월 23일,55.59
2020년 01월 22일,56.74
2020년 01월 21일,58.34
2020년 01월 20일,58.73
2020년 01월 19일,59.27
2020년 01월 17일,58.54
2020년 01월 16일,58.52
2020년 01월 15일,57.81
2020년 01월 14일,58.23
2020년 01월 13일,58.08
2020년 01월 10일,59.04
2020년 01월 09일,59.56
2020년 01월 08일,59.61
2020년 01월 07일,62.7
2020년 01월 06일,63.27
2020년 01월 03일,63.05
2020년 01월 02일,61.18
2020년 01월 01일,61.33
2019년 12월 31일,61.06
2019년 12월 30일,61.68
2019년 12월 27일,61.72
2019년 12월 26일,61.68
2019년 12월 25일,61.19
2019년 12월 24일,61.11
2019년 12월 23일,60.52
2019년 12월 20일,60.44
2019년 12월 19일,61.22
2019년 12월 18일,60.93
2019년 12월 17일,60.94
2019년 12월 16일,60.21
2019년 12월 13일,60.07
2019년 12월 12일,59.18
2019년 12월 11일,58.76
2019년 12월 10일,59.24
2019년 12월 09일,59.02
2019년 12월 06일,59.2
2019년 12월 05일,58.43
2019년 12월 04일,58.43
2019년 12월 03일,56.1
2019년 12월 02일,55.96
2019년 11월 29일,55.17
2019년 11월 28일,58.08
2019년 11월 27일,58.11
2019년 11월 26일,58.41
2019년 11월 25일,58.01
2019년 11월 22일,57.77
2019년 11월 21일,58.58
2019년 11월 20일,57.11
2019년 11월 19일,55.21
2019년 11월 18일,57.05
2019년 11월 15일,57.72
2019년 11월 14일,56.77
2019년 11월 13일,57.12
2019년 11월 12일,56.8
2019년 11월 11일,56.86
2019년 11월 08일,57.24
2019년 11월 07일,57.15
2019년 11월 06일,56.35
2019년 11월 05일,57.23
2019년 11월 04일,56.54
2019년 11월 01일,56.2
2019년 10월 31일,54.18
2019년 10월 30일,55.06
2019년 10월 29일,55.54
2019년 10월 28일,55.81
2019년 10월 25일,56.66
2019년 10월 24일,56.23
2019년 10월 23일,55.97
2019년 10월 22일,54.16
2019년 10월 21일,53.31
2019년 10월 18일,53.78
2019년 10월 17일,53.93
2019년 10월 16일,53.36
2019년 10월 15일,52.81
2019년 10월 14일,53.59
2019년 10월 11일,54.7
2019년 10월 10일,53.55
2019년 10월 09일,52.59
2019년 10월 08일,52.63
2019년 10월 07일,52.75
2019년 10월 04일,52.81
2019년 10월 03일,52.45
2019년 10월 02일,52.64
2019년 10월 01일,53.62
2019년 09월 30일,54.07
2019년 09월 27일,55.91
2019년 09월 26일,56.41
2019년 09월 25일,56.49
2019년 09월 24일,57.29
2019년 09월 23일,58.64
2019년 09월 20일,58.09
2019년 09월 19일,58.13
2019년 09월 18일,58.11
2019년 09월 17일,59.34
2019년 09월 16일,62.9
2019년 09월 13일,54.85
2019년 09월 12일,55.09
2019년 09월 11일,55.75
2019년 09월 10일,57.4
2019년 09월 09일,57.85
2019년 09월 06일,56.52
2019년 09월 05일,56.3
2019년 09월 04일,56.26
2019년 09월 03일,53.94
2019년 09월 02일,54.66
