Date,Closing Price
2017-07-23,93.26
2017-07-16,93.86
2017-07-09,95.15
2017-07-02,96.01
2017-06-25,95.63
2017-06-18,97.26
2017-06-11,97.16
2017-06-04,97.27
2017-05-28,96.72
2017-05-21,97.44
2017-05-14,97.14
2017-05-07,99.25
2017-04-30,98.65
2017-04-23,99.05
2017-04-16,99.98
2017-04-09,100.56
2017-04-02,101.18
2017-03-26,100.35
2017-03-19,99.63
2017-03-12,100.3
2017-03-05,101.25
2017-02-26,101.54
2017-02-19,101.09
2017-02-12,100.95
2017-02-05,100.8
2017-01-29,99.87
2017-01-22,100.53
2017-01-15,100.74
2017-01-08,101.18
2017-01-01,102.22
2016-12-25,102.21
2016-12-18,103.01
2016-12-11,102.95
2016-12-04,101.59
2016-11-27,100.77
2016-11-20,101.49
2016-11-13,101.21
2016-11-06,99.06
2016-10-30,97.06
2016-10-23,98.35
2016-10-16,98.69
2016-10-09,98.02
2016-10-02,96.63
2016-09-25,95.46
2016-09-18,95.48
2016-09-11,96.11
2016-09-04,95.34
2016-08-28,95.84
2016-08-21,95.57
2016-08-14,94.51
2016-08-07,95.72
2016-07-31,96.19
2016-07-24,95.53
2016-07-17,97.47
2016-07-10,96.58
2016-07-03,96.3
2016-06-26,95.65
2016-06-19,95.45
2016-06-12,94.21
2016-06-05,94.57
2016-05-29,94.03
2016-05-22,95.52
2016-05-15,95.33
2016-05-08,94.61
2016-05-01,93.89
2016-04-24,93.08
2016-04-17,95.12
2016-04-10,94.7
2016-04-03,94.23
2016-03-27,94.62
2016-03-20,96.14
2016-03-13,95.09
2016-03-06,96.17
2016-02-28,97.34
2016-02-21,98.15
2016-02-14,96.6
2016-02-07,95.94
2016-01-31,97.03
2016-01-24,99.61
2016-01-17,99.57
2016-01-10,98.96
2016-01-03,98.54
2015-12-27,98.63
2015-12-20,97.98
2015-12-13,98.7
2015-12-06,97.56
2015-11-29,98.35
2015-11-22,100.02
2015-11-15,99.56
2015-11-08,99
2015-11-01,99.17
2015-10-25,96.95
2015-10-18,97.13
2015-10-11,94.54
2015-10-04,94.81
2015-09-27,95.83
2015-09-20,96.27
2015-09-13,94.86
2015-09-06,95.19
2015-08-30,96.23
2015-08-23,96.11
2015-08-16,95.01
2015-08-09,96.52
2015-08-02,97.56
2015-07-26,97.34
2015-07-19,97.24
2015-07-12,97.86
2015-07-05,96.03
2015-06-28,96.11
2015-06-21,95.47
2015-06-14,94.08
2015-06-07,94.97
2015-05-31,96.31
2015-05-24,96.91
2015-05-17,96.11
2015-05-10,93.14
2015-05-03,94.79
2015-04-26,95.3
2015-04-19,96.92
2015-04-12,97.52
2015-04-05,99.34
2015-03-29,96.55
2015-03-22,97.29
2015-03-15,97.91
2015-03-08,100.33
2015-03-01,97.61
2015-02-22,95.32
2015-02-15,94.34
2015-02-08,94.2
2015-02-01,95.85
2015-01-25,94.8
2015-01-18,94.76
2015-01-11,92.52
2015-01-04,91.94
2014-12-28,91.08
2014-12-21,90.03
2014-12-14,89.6
2014-12-07,88.36
2014-11-30,89.33
2014-11-23,88.36
2014-11-16,88.31
2014-11-09,87.53
2014-11-02,87.64
2014-10-26,86.92
2014-10-19,85.73
2014-10-12,85.11
2014-10-05,85.91
2014-09-28,86.69
2014-09-21,85.64
2014-09-14,84.73
2014-09-07,84.24
2014-08-31,83.74
2014-08-24,82.75
2014-08-17,82.34
2014-08-10,81.42
2014-08-03,81.45
2014-07-27,81.3
2014-07-20,81.03
2014-07-13,80.52
2014-07-06,80.19
2014-06-29,80.27
2014-06-22,80.02
2014-06-15,80.37
2014-06-08,80.58
2014-06-01,80.41
2014-05-25,80.37
2014-05-18,80.39
2014-05-11,80.04
2014-05-04,79.9
2014-04-27,79.52
2014-04-20,79.75
2014-04-13,79.83
2014-04-06,79.45
2014-03-30,80.42
2014-03-23,80.18
2014-03-16,80.11
2014-03-09,79.45
2014-03-02,79.72
2014-02-23,79.69
2014-02-16,80.24
2014-02-09,80.15
2014-02-02,80.69
2014-01-26,81.31
2014-01-19,80.46
2014-01-12,81.22
2014-01-05,80.66
2013-12-29,80.79
2013-12-22,80.39
2013-12-15,80.58
2013-12-08,80.21
2013-12-01,80.31
2013-11-24,80.68
2013-11-17,80.71
2013-11-10,80.85
2013-11-03,81.3
2013-10-27,80.72
2013-10-20,79.19
2013-10-13,79.65
2013-10-06,80.41
2013-09-29,80.13
2013-09-22,80.29
2013-09-15,80.43
2013-09-08,81.45
2013-09-01,82.15
2013-08-25,82.09
2013-08-18,81.36
2013-08-11,81.26
2013-08-04,81.13
2013-07-28,81.91
2013-07-21,81.66
2013-07-14,82.62
2013-07-07,82.99
2013-06-30,84.44
2013-06-23,83.14
2013-06-16,82.41
2013-06-09,80.62
2013-06-02,81.67
2013-05-26,83.26
2013-05-19,83.7
2013-05-12,84.25
2013-05-05,83.14
2013-04-28,82.1
2013-04-21,82.47
2013-04-14,82.71
2013-04-07,82.13
2013-03-31,82.5
2013-03-24,83.22
2013-03-17,82.53
2013-03-10,82.13
2013-03-03,82.72
2013-02-24,82.28
2013-02-17,81.46
2013-02-10,80.58
2013-02-03,80.21
2013-01-27,79.21
2013-01-20,79.75
2013-01-13,80.04
2013-01-06,79.56
2012-12-30,80.5
2012-12-23,79.68
2012-12-16,79.62
2012-12-09,79.58
2012-12-02,80.41
2012-11-25,80.15
2012-11-18,80.19
2012-11-11,81.26
2012-11-04,81.03
2012-10-28,80.59
2012-10-21,80.07
2012-10-14,79.62
2012-10-07,79.67
2012-09-30,79.34
2012-09-23,79.94
2012-09-16,79.33
2012-09-09,78.85
2012-09-02,80.25
2012-08-26,81.21
2012-08-19,81.59
2012-08-12,82.6
2012-08-05,82.55
2012-07-29,82.38
2012-07-22,82.71
2012-07-15,83.48
2012-07-08,83.35
2012-07-01,83.38
2012-06-24,81.63
2012-06-17,82.26
2012-06-10,81.63
2012-06-03,82.51
2012-05-27,82.89
2012-05-20,82.4
2012-05-13,81.29
2012-05-06,80.26
2012-04-29,79.5
2012-04-22,78.71
2012-04-15,79.19
2012-04-08,79.89
2012-04-01,79.89
2012-03-25,79
2012-03-18,79.34
2012-03-11,79.79
2012-03-04,80.04
2012-02-26,79.4
2012-02-19,78.35
2012-02-12,79.33
2012-02-05,79.11
2012-01-29,78.92
2012-01-22,78.9
2012-01-15,80.22
2012-01-08,81.52
2012-01-01,81.25
2011-12-25,80.18
2011-12-18,79.93
2011-12-11,80.26
2011-12-04,78.63
2011-11-27,78.62
2011-11-20,79.69
2011-11-13,78.06
2011-11-06,76.94
2011-10-30,76.96
2011-10-23,75.07
2011-10-16,76.39
2011-10-09,76.62
2011-10-02,78.73
2011-09-25,78.55
2011-09-18,78.5
2011-09-11,76.6
2011-09-04,77.19
2011-08-28,74.76
2011-08-21,73.81
2011-08-14,74.01
2011-08-07,74.61
2011-07-31,74.6
2011-07-24,73.9
2011-07-17,74.2
2011-07-10,75.13
2011-07-03,75.18
2011-06-26,74.35
2011-06-19,75.67
2011-06-12,74.99
2011-06-05,74.8
2011-05-29,73.78
2011-05-22,74.95
2011-05-15,75.44
2011-05-08,75.76
2011-05-01,74.84
2011-04-24,72.93
2011-04-17,74
2011-04-10,74.83
2011-04-03,75.07
2011-03-27,75.83
2011-03-20,76.22
2011-03-13,75.72
2011-03-06,76.78
2011-02-27,76.4
2011-02-20,77.28
2011-02-13,77.66
2011-02-06,78.46
2011-01-30,78.04
2011-01-23,78.13
2011-01-16,78.21
2011-01-09,79.16
2011-01-02,81.01
2010-12-26,79.03
2010-12-19,80.5
2010-12-12,80.37
2010-12-05,80.07
2010-11-28,79.38
2010-11-21,80.36
2010-11-14,78.5
2010-11-07,78.08
2010-10-31,76.55
2010-10-24,77.27
2010-10-17,77.47
2010-10-10,77.04
2010-10-03,77.33
2010-09-26,78.09
2010-09-19,79.39
2010-09-12,81.4
2010-09-05,82.7
2010-08-29,82.1
2010-08-22,82.92
2010-08-15,83.06
2010-08-08,82.95
2010-08-01,80.41
2010-07-25,81.54
2010-07-18,82.46
2010-07-11,82.49
2010-07-04,83.95
2010-06-27,84.43
2010-06-20,85.31
2010-06-13,85.7
2010-06-06,87.51
2010-05-30,88.23
2010-05-23,86.48
2010-05-16,85.37
2010-05-09,86.09
2010-05-02,84.45
2010-04-25,81.87
2010-04-18,81.35
2010-04-11,80.82
2010-04-04,81.09
2010-03-28,81.29
2010-03-21,81.68
2010-03-14,80.72
2010-03-07,79.83
2010-02-28,80.43
2010-02-21,80.36
2010-02-14,80.64
2010-02-07,80.32
2010-01-31,80.44
2010-01-24,79.46
2010-01-17,78.28
2010-01-10,77.32
2010-01-03,77.47
2009-12-27,77.86
2009-12-20,77.64
2009-12-13,77.82
2009-12-06,76.57
2009-11-29,75.91
2009-11-22,75
2009-11-15,75.66
2009-11-08,75.33
