Date,Dubai,,
10년04월12일,83.57,,
10년04월13일,82.98,,
10년04월14일,83.48,,
10년04월15일,84.41,,
10년04월16일,84.86,,
10년04월19일,82.47,,
10년04월20일,83.16,,
10년04월21일,83.46,,
10년04월22일,84.06,,
10년04월23일,83.74,,
10년04월26일,85.4,,
10년04월27일,84.67,,
10년04월28일,83.38,,
10년04월29일,84.6,,
10년04월30일,85.78,,
10년05월03일,86.13,,
10년05월04일,87.4,,
10년05월05일,83.98,,
10년05월06일,81.38,,
10년05월07일,79.24,,
10년05월10일,80.76,,
10년05월11일,79.28,,
10년05월12일,80.97,,
10년05월13일,81.35,,
10년05월14일,79.23,,
10년05월17일,75.89,,
10년05월18일,75.22,,
10년05월19일,72.28,,
10년05월20일,72.22,,
10년05월21일,69.7,,
10년05월24일,70.22,,
10년05월25일,68.28,,
10년05월26일,69.19,,
10년05월27일,70.85,,
10년05월28일,,,
10년05월31일,73.32,,
10년06월01일,72.11,,
10년06월02일,71.85,,
10년06월03일,74.45,,
10년06월04일,75.08,,
10년06월07일,70.86,,
10년06월08일,71.78,,
10년06월09일,71.55,,
10년06월10일,72.91,,
10년06월11일,74.03,,
10년06월14일,74.64,,
10년06월15일,73.84,,
10년06월16일,74.89,,
10년06월17일,76.2,,
10년06월18일,76.11,,
10년06월21일,77,,
10년06월22일,75.76,,
10년06월23일,75.76,,
10년06월24일,73.77,,
10년06월25일,73.9,,
10년06월28일,75.7,,
10년06월29일,73.7,,
10년06월30일,73.14,,
10년07월01일,71.85,,
10년07월02일,70.52,,
10년07월05일,69.88,,
10년07월06일,70.06,,
10년07월07일,69.29,,
10년07월08일,72.08,,
10년07월09일,73.21,,
10년07월12일,72.68,,
10년07월13일,71.69,,
10년07월14일,74.15,,
10년07월15일,73.63,,
10년07월16일,73.41,,
10년07월19일,72.68,,
10년07월20일,73.16,,
10년07월21일,73.66,,
10년07월22일,72.43,,
10년07월23일,74.58,,
10년07월26일,73.68,,
10년07월27일,74.36,,
10년07월28일,73.18,,
10년07월29일,73.4,,
10년07월30일,73.75,,
10년08월02일,76.01,,
10년08월03일,77.22,,
10년08월04일,78.22,,
10년08월05일,78.59,,
10년08월06일,78.43,,
10년08월09일,,,
10년08월10일,77.13,,
10년08월11일,76.22,,
10년08월12일,74.28,,
10년08월13일,73.14,,
10년08월16일,72.5,,
10년08월17일,73.04,,
10년08월18일,73.58,,
10년08월19일,74.03,,
10년08월20일,72.68,,
10년08월23일,71.65,,
10년08월24일,70.62,,
10년08월25일,70.58,,
10년08월26일,71.43,,
10년08월27일,72.08,,
10년08월30일,73.43,,
10년08월31일,72.76,,
10년09월01일,72.89,,
10년09월02일,73.81,,
10년09월03일,74.25,,
10년09월06일,74.36,,
10년09월07일,73.74,,
10년09월08일,74.58,,
10년09월09일,75.33,,
10년09월10일,,,
10년09월13일,75.42,,
10년09월14일,75.89,,
10년09월15일,75.91,,
10년09월16일,76.25,,
10년09월17일,76.26,,
10년09월20일,75.43,,
10년09월21일,76.37,,
10년09월22일,75.38,,
10년09월23일,74.8,,
10년09월24일,75.07,,
10년09월27일,75.83,,
10년09월28일,74.67,,
10년09월29일,75.79,,
10년09월30일,77.24,,
10년10월01일,79.7,,
10년10월04일,80.09,,
10년10월05일,80.15,,
10년10월06일,81.58,,
