Date,Closing Price
2012년 12월 02일,85.93
2012년 11월 25일,88.91
2012년 11월 18일,88.28
2012년 11월 11일,86.67
2012년 11월 04일,86.07
2012년 10월 28일,84.86
2012년 10월 21일,86.28
2012년 10월 14일,90.05
2012년 10월 07일,91.86
2012년 09월 30일,89.88
2012년 09월 23일,92.19
2012년 09월 16일,92.89
2012년 09월 09일,99
2012년 09월 02일,96.42
2012년 08월 26일,96.47
2012년 08월 19일,96.15
2012년 08월 12일,96.01
2012년 08월 05일,92.87
2012년 07월 29일,91.4
2012년 07월 22일,90.13
2012년 07월 15일,91.44
2012년 07월 08일,87.1
2012년 07월 01일,84.45
2012년 06월 24일,84.96
2012년 06월 17일,79.76
2012년 06월 10일,84.03
2012년 06월 03일,84.1
2012년 05월 27일,83.23
2012년 05월 20일,90.86
2012년 05월 13일,91.48
2012년 05월 06일,96.13
2012년 04월 29일,98.49
2012년 04월 22일,104.93
2012년 04월 15일,103.05
2012년 04월 08일,102.83
2012년 04월 01일,103.31
2012년 03월 25일,103.02
2012년 03월 18일,106.87
2012년 03월 11일,107.06
2012년 03월 04일,107.4
2012년 02월 26일,106.7
2012년 02월 19일,109.77
2012년 02월 12일,103.24
2012년 02월 05일,98.67
2012년 01월 29일,97.84
2012년 01월 22일,99.56
2012년 01월 15일,98.46
2012년 01월 08일,98.7
2012년 01월 01일,101.56
2011년 12월 25일,98.83
2011년 12월 18일,99.68
2011년 12월 11일,93.53
2011년 12월 04일,99.41
2011년 11월 27일,100.96
2011년 11월 20일,96.77
2011년 11월 13일,97.41
2011년 11월 06일,98.99
2011년 10월 30일,94.26
2011년 10월 23일,93.32
2011년 10월 16일,87.4
2011년 10월 09일,86.8
2011년 10월 02일,82.98
2011년 09월 25일,79.2
2011년 09월 18일,79.85
2011년 09월 11일,87.96
2011년 09월 04일,87.24
2011년 08월 28일,86.45
2011년 08월 21일,85.37
2011년 08월 14일,82.26
2011년 08월 07일,85.38
2011년 07월 31일,86.88
2011년 07월 24일,95.7
2011년 07월 17일,99.87
2011년 07월 10일,97.24
2011년 07월 03일,96.2
2011년 06월 26일,94.94
2011년 06월 19일,91.16
2011년 06월 12일,93.01
2011년 06월 05일,99.29
2011년 05월 29일,100.22
2011년 05월 22일,100.59
2011년 05월 15일,99.49
2011년 05월 08일,99.65
2011년 05월 01일,97.18
2011년 04월 24일,113.93
